City,Country,Lat,Lng,Humidity,Hotel Name
qarauyl,KZ,48.9451,79.255,58,
colonia,DE,50.9333,6.95,49,
avarua,CK,-21.2078,-159.775,89,
coxen hole,HN,16.3244,-86.5366,78,
opuwo,,-18.0607,13.84,24,
el calafate,AR,-50.3408,-72.2768,61,
tarauaca,BR,-8.1614,-70.7656,82,
armacao de buzios,BR,-22.7469,-41.8817,80,
mashava,ZW,-20.0367,30.4823,35,
la ronge,CA,55.1001,-105.2842,79,
meulaboh,ID,4.1363,96.1285,88,
port lincoln,AU,-34.7333,135.8667,95,
badger,US,64.8,-147.5333,66,
mianyang,CN,31.4593,104.7542,55,
carnarvon,AU,-24.8667,113.6333,71,
pierre,US,44.3683,-100.351,93,
weno,FM,7.4515,151.8468,100,
alexandria,EG,31.2156,29.9553,60,
san patricio,US,28.017,-97.5169,74,
bilibino,RU,68.0546,166.4372,100,
okulovka,RU,58.4008,33.2908,71,
labytnangi,RU,66.6572,66.4183,95,
forster,AU,-32.1667,152.5167,100,
east london,ZA,-33.0153,27.9116,65,
tumaco,CO,1.7986,-78.8156,87,
vic-en-bigorre,FR,43.3833,0.05,83,
derzhavinsk,KZ,51.1,66.3167,79,
tzucacab,MX,20.0667,-89.05,55,
wailua homesteads,US,22.0669,-159.378,86,
tolanaro,MG,-25.0319,46.9987,89,
manacapuru,BR,-3.2997,-60.6206,63,
fort bragg,US,35.139,-79.006,46,
soe,ID,-9.8607,124.284,96,
birjand,IR,32.8663,59.2211,6,
la jolla,US,32.8473,-117.2742,89,
kayar,SN,14.9192,-17.1211,63,
kupang,ID,-10.1667,123.5833,100,
nizhnyaya salda,RU,58.0776,60.7202,98,
anadyr,RU,64.75,177.4833,76,
the bottom,BQ,17.6259,-63.2492,69,
kuqa,CN,41.7278,82.9364,48,
chazuta,PE,-6.5742,-76.1367,64,
lihue,US,21.9789,-159.3672,85,
khoyniki,BY,51.8911,29.9552,51,
semporna,MY,4.4818,118.6112,81,
crane,US,31.3974,-102.3501,56,
holualoa,US,19.6228,-155.9522,83,
arkhangel'sk,RU,64.5401,40.5433,93,
pacocha,PE,-17.5833,-71.3333,70,
ghat,LY,24.9647,10.1728,4,
keflavik,IS,64.0049,-22.5624,59,
illizi,DZ,26.4833,8.4667,5,
ulladulla,AU,-35.35,150.4667,91,
manaure,CO,11.7751,-72.4445,53,
barra de santo antonio,BR,-9.4047,-35.5072,72,
nizhnesortymskiy,RU,62.4397,71.7603,93,
howrah,IN,22.5892,88.3103,70,
ocean shores,US,46.9737,-124.1563,95,
khandyga,RU,62.6667,135.6,100,
nasiriyah,IQ,31.0521,46.261,22,
karratha,AU,-20.7377,116.8463,70,
cannonvale,AU,-20.2833,148.7,83,
nerchinsk,RU,51.9833,116.5833,46,
tura,IN,25.5198,90.2201,35,
grand falls-windsor,CA,48.9332,-55.6649,76,
gisborne,NZ,-38.6533,178.0042,85,
wewak,PG,-3.5534,143.6268,87,
kampene,CD,-3.6,26.6667,99,
khovd,MN,48.0056,91.6419,29,
burang,CN,30.25,81.1667,96,
dzhambeyty,KZ,50.2536,52.595,74,
maiurno,SD,13.4167,33.6667,6,
mahibadhoo,MV,3.7833,72.9667,72,
lebu,CL,-37.6167,-73.65,61,
bolanikhodan,IN,22.1,85.3167,45,
sao joao da barra,BR,-21.6403,-41.0511,74,
birobidzhan,RU,48.8,132.95,68,
brookings,US,44.3114,-96.7984,89,
ar raqqah,SY,35.95,39.0167,27,
grand island,US,40.925,-98.342,81,
crossville,US,35.949,-85.0269,69,
copiapo,CL,-27.3667,-70.3333,43,
lockwood,US,45.8191,-108.4149,86,
san jose de jachal,AR,-30.2406,-68.7469,25,
minas de marcona,PE,-15.2119,-75.1103,64,
gagliano del capo,IT,39.8442,18.3695,82,
mount gambier,AU,-37.8333,140.7667,89,
puerto aysen,CL,-45.4,-72.7,89,
saint-philippe,RE,-21.3585,55.7679,86,
taybad,IR,34.74,60.7756,22,
buka,UZ,40.8108,69.1986,43,
panna,IN,24.7167,80.2,13,
twon-brass,NG,4.3151,6.2418,76,
yangchun,CN,22.1667,111.7833,92,
saudarkrokur,IS,65.7461,-19.6394,82,
albufeira,PT,37.0882,-8.2503,65,
ferkessedougou,CI,9.6,-5.2,16,
paracuru,BR,-3.41,-39.0306,98,
vorkuta,RU,67.5,64.0,89,
port shepstone,ZA,-30.7414,30.455,77,
huarmey,PE,-10.0681,-78.1522,74,
kapa'a,US,22.0752,-159.319,85,
chilapa de alvarez,MX,17.6,-99.1667,39,
kutulik,RU,53.3508,102.7839,99,
sungai penuh,ID,-2.0833,101.3833,98,
barcelos,PT,41.5388,-8.6151,71,
harper,LR,4.375,-7.7169,67,
port saint john's,ZA,-31.6229,29.5448,72,
kidal,ML,18.4411,1.4078,10,
opportunity,US,47.6499,-117.2399,68,
wysokie mazowieckie,PL,52.9166,22.5171,50,
motygino,RU,58.1831,94.7592,100,
naze,JP,28.3667,129.4833,92,
conduaga,PH,8.862,117.4893,82,
zhangzhou,CN,24.5133,117.6556,89,
longyearbyen,SJ,78.2186,15.6401,65,
mil'kovo,RU,55.6078,37.7956,65,
greenville,US,35.6127,-77.3663,46,
berezovyy,RU,51.6667,135.7,92,
gadzhiyevo,RU,69.2551,33.3362,71,
kingston,JM,17.997,-76.7936,59,
mokhsogollokh,RU,61.4681,128.9203,100,
tsengel,MN,49.4783,100.8894,40,
dul'durga,RU,50.6761,113.5931,40,
francisco javier mina,MX,24.4934,-104.4857,20,
neufchateau,FR,48.35,5.7,79,
gizo,SB,-8.103,156.8419,87,
vicente guerrero,MX,19.1194,-98.1708,26,
choibalsan,MN,48.0667,114.5,83,
pacific grove,US,36.6177,-121.9166,88,
puerto escondido,MX,15.85,-97.0667,61,
hamilton,US,39.1834,-84.5333,95,
abepura,ID,-2.6333,140.5833,89,
hasaki,JP,35.7333,140.8333,82,
xiaoweizhai,CN,26.1903,107.5125,97,
saipan,MP,15.1355,145.701,74,
okhotsk,RU,59.3833,143.3,77,
puerto tejada,CO,3.2311,-76.4167,80,
shalqar,KZ,47.8333,59.6,53,
st. john's,CA,47.5649,-52.7093,82,
konarka,IN,19.9,86.1167,66,
broome,US,42.2506,-75.833,71,
guerrero negro,MX,27.9769,-114.0611,78,
saldanha,ZA,-33.0117,17.9442,79,
ulsteinvik,NO,62.3432,5.8487,96,
mount pearl,CA,47.5166,-52.7813,81,
aldama,MX,22.9167,-98.0667,66,
tonj,SS,7.2737,28.6822,11,
balkanabat,TM,39.5108,54.3671,60,
tera,NE,14.0078,0.7531,6,
ust'-kulom,RU,61.6864,53.6902,99,
trincomalee,LK,8.5711,81.2335,76,
rikaze,CN,29.25,88.8833,12,
kavaratti,IN,10.5669,72.642,71,
sisimiut,GL,66.9395,-53.6735,73,
kertih,MY,4.5141,103.4483,94,
launceston,AU,-41.45,147.1667,87,
kalabo,ZM,-14.97,22.6814,91,
arraial do cabo,BR,-22.9661,-42.0278,78,
constitucion,CL,-35.3333,-72.4167,45,
iskateley,RU,67.6803,53.1512,87,
college,US,64.8569,-147.8028,65,
mar del plata,AR,-38.0023,-57.5575,56,
carauari,BR,-4.8828,-66.8958,53,
meadow lake,US,34.8014,-106.5436,30,
tralee,IE,52.2704,-9.7026,86,
camacari,BR,-12.6975,-38.3242,59,
keminmaa,FI,65.8596,24.8228,69,
ilhabela,BR,-23.7781,-45.3581,67,
thunder bay,CA,48.4001,-89.3168,75,
tamanrasset,DZ,22.785,5.5228,9,
hays,US,30.0502,-98.0336,88,
fortuna,US,40.5982,-124.1573,91,
abu al matamir,EG,30.9102,30.1744,30,
totoras,AR,-32.5844,-61.1685,91,
ancud,CL,-41.8697,-73.8203,57,
santa ana,US,33.7456,-117.8678,91,
oroqen zizhiqi,CN,50.5667,123.7167,95,
vorgashor,RU,67.5833,63.95,89,
sao gabriel da cachoeira,BR,-0.1303,-67.0892,94,
coquimbo,CL,-29.9533,-71.3436,88,
qaqortoq,GL,60.7167,-46.0333,68,
muroto-misakicho,JP,33.2833,134.15,82,
fukuecho,JP,32.6881,128.8419,90,
aral,CN,40.5156,81.2636,51,
torghay,KZ,49.6339,63.4981,55,
kindu,CD,-2.95,25.95,99,
soio,AO,-6.1349,12.3689,82,
yeraliyev,KZ,43.2,51.65,45,
la passe,FR,45.5549,-0.8967,67,
nikol'sk,RU,53.7189,46.0712,100,
namibe,AO,-15.1961,12.1522,74,
kapuskasing,CA,49.4169,-82.4331,68,
broken hill,AU,-31.95,141.4333,75,
codrington,AU,-38.2667,141.9667,80,
fauske,NO,67.2588,15.3918,82,
lorengau,PG,-2.0226,147.2712,81,
soure,BR,-0.7167,-48.5233,81,
labuan,MY,5.2767,115.2417,83,
cabedelo,BR,-6.9811,-34.8339,71,
aytos,BG,42.7,27.25,49,
meiktila,MM,20.8667,95.8667,36,
korocha,RU,50.8107,37.1953,55,
cukai,MY,4.25,103.4167,84,
la'ie,US,21.6477,-157.9253,82,
nizhnyaya maktama,RU,54.8636,52.4281,99,
marka,SO,1.7159,44.7717,74,
kavieng,PG,-2.5744,150.7967,82,
labrador city,CA,52.9463,-66.9114,68,
ranipur,PK,27.2879,68.5051,8,
unecha,RU,52.8459,32.6739,57,
carutapera,BR,-1.195,-46.02,67,
straldzha,BG,42.6,26.6833,45,
hobyo,SO,5.3505,48.5268,69,
leh,IN,34.1667,77.5833,63,
egilsstadir,IS,65.2653,-14.3948,100,
enewetak,MH,11.3474,162.3373,80,
ha'il,SA,27.5219,41.6907,38,
itaituba,BR,-4.2761,-55.9836,74,
sangod,IN,24.9167,76.2833,14,
nevel',RU,56.0209,29.9284,64,
poltava,UA,49.5937,34.5407,35,
poxoreo,BR,-15.8372,-54.3892,57,
ceeldheer,SO,3.8488,47.1806,68,
tvoroyri,FO,61.5556,-6.8111,75,
bairnsdale,AU,-37.8333,147.6167,96,
apartado,CO,7.883,-76.6259,75,
yeed,SO,4.55,43.0333,20,
daru,PG,-9.0763,143.2092,88,
nikolayevsk-on-amure,RU,53.1406,140.73,98,
tazovsky,RU,67.4667,78.7,100,
midvagur,FO,62.0511,-7.1939,81,
kudymkar,RU,59.0173,54.656,100,
cody,US,44.5263,-109.0565,93,
fale old settlement,TK,-9.3852,-171.2468,75,
robore,BO,-18.3333,-59.75,41,
kuruman,ZA,-27.4524,23.4325,36,
korla,CN,41.7597,86.1469,42,
kosmach,UA,48.7509,24.3673,41,
anchorage,US,61.2181,-149.9003,71,
kabansk,RU,52.0486,106.6528,89,
kloulklubed,PW,7.0419,134.2556,72,
harstad,NO,68.799,16.5293,90,
northam,GB,51.0333,-4.2167,86,
piacabucu,BR,-10.4056,-36.4344,71,
lazaro cardenas,MX,17.9583,-102.2,50,
bambanglipuro,ID,-7.95,110.2833,80,
castanos,MX,26.7833,-101.4167,46,
margate,GB,51.3813,1.3862,83,
turpan,CN,42.9333,89.1667,18,
santiago de cao,PE,-7.9589,-79.2392,88,
maceio,BR,-9.6658,-35.7353,79,
howard springs,AU,-12.497,131.047,96,
pont rouge,CA,48.8833,-72.0825,58,
balikpapan,ID,-1.2675,116.8289,100,
tupiza,BO,-21.45,-65.7167,44,
palma di montechiaro,IT,37.1926,13.765,51,
sandnessjoen,NO,66.0217,12.6316,75,
ikalamavony,MG,-21.15,46.5833,71,
yenangyaung,MM,20.4667,94.8833,44,
lagoa,PT,39.05,-27.9833,57,
mossel bay,ZA,-34.1831,22.146,86,
kovrov,RU,56.3572,41.3192,89,
bahir dar,ET,11.5936,37.3908,18,
newman,US,37.3138,-121.0208,91,
berezovo,RU,63.9381,65.0419,87,
khorixas,,-20.3667,14.9667,21,
morondava,MG,-20.2833,44.2833,69,
yugorsk,RU,61.3133,63.3319,87,
'alaqahdari dishu,AF,30.4374,63.313,11,
juneau,US,58.3019,-134.4197,89,
ad dabbah,SD,18.05,30.95,8,
pizarro,CO,4.9533,-77.366,85,
vegreville,CA,53.5001,-112.0518,89,
portland,US,45.5234,-122.6762,89,
nago,JP,26.5881,127.9761,92,
argenton-sur-creuse,FR,46.59,1.5198,66,
sao vicente,BR,-23.9631,-46.3919,69,
calingasta,AR,-31.3308,-69.4078,29,
nemuro,JP,43.3236,145.575,87,
argo,GR,37.6333,22.7333,41,
kone,NC,-21.0595,164.8658,86,
praia da vitoria,PT,38.7333,-27.0667,59,
vilyuysk,RU,63.7553,121.6247,99,
xucheng,CN,20.35,110.1288,81,
alesund,NO,62.4723,6.1549,94,
sinop,TR,41.7711,34.8709,56,
gembu,NG,6.7,11.2667,25,
jaisalmer,IN,26.9147,70.9181,19,
laguna,US,38.421,-121.4238,87,
saint-louis,SN,16.3333,-15.0,11,
kralendijk,BQ,12.15,-68.2667,58,
road town,VG,18.4167,-64.6167,58,
salinas,US,36.6777,-121.6555,91,
lourical,PT,40.0039,-8.7374,68,
uddevalla,SE,58.3478,11.9424,88,
lisse,NL,52.26,4.5569,76,
beytussebap,TR,37.5694,43.1681,60,
dryden,CA,49.7833,-92.7503,80,
san antonio de pale,GQ,-1.4014,5.6325,81,
karaton,ID,-6.3424,106.1045,95,
livermore,US,37.6819,-121.768,91,
ingeniero guillermo n. juarez,AR,-23.9,-61.85,40,
yeniseysk,RU,58.4497,92.1703,88,
geraldton,AU,-28.7667,114.6,83,
itigi,TZ,-5.7,34.4833,89,
okahandja,,-21.9833,16.9167,33,
sokur,RU,55.2093,83.319,90,
smithers,CA,54.7804,-127.1743,86,
gordonvale,AU,-17.0936,145.7842,100,
valdovino,ES,43.6094,-8.1115,75,
katsuren-haebaru,JP,26.3369,127.8719,95,
arnstadt,DE,50.8333,10.95,58,
black point,AU,-34.6187,137.8972,65,
saint-joseph,RE,-21.3667,55.6167,85,
chita,RU,52.0333,113.55,41,
tarakan,ID,3.3,117.6333,77,
borogontsy,RU,62.6683,131.1683,100,
tabuk,PH,17.4189,121.4443,83,
omutinskiy,RU,56.4745,67.6709,100,
quepos,CR,9.4236,-84.1652,41,
rabo de peixe,PT,37.8,-25.5833,63,
ntoum,GA,0.3833,9.7833,68,
mahina,PF,-17.5065,-149.489,78,
gaalkacyo,SO,6.7697,47.4308,31,
mirny,RU,62.5353,113.9611,100,
bereznik,RU,62.8551,42.7072,91,
kailua-kona,US,19.6406,-155.9956,84,
kotlas,RU,61.2611,46.6556,92,
melekeok village,PW,7.4957,134.6367,78,
yanam,IN,16.7333,82.2167,79,
isetskoye,RU,56.4858,65.3226,98,
awjilah,LY,29.1081,21.2869,9,
loango,CG,-4.6719,11.8312,83,
sinan,KR,34.8262,126.1086,73,
niquelandia,BR,-14.4739,-48.4597,58,
puro,PH,12.4841,123.3827,82,
bubaque,GW,11.2833,-15.8333,64,
nantucket,US,41.2835,-70.0995,50,
guarda,PT,40.5373,-7.2658,72,
nova vicosa,BR,-17.8919,-39.3719,62,
zouerate,MR,22.7187,-12.4521,19,
yung shue wan,HK,22.2333,114.1167,85,
oranjemund,,-28.55,16.4333,80,
rongelap,MH,11.1635,166.8941,79,
papao,PF,-17.75,-149.55,86,
narathiwat,TH,6.3333,101.75,91,
shagonar,RU,51.5333,92.8,95,
olinda,BR,-8.0089,-34.8553,70,
kurchatov,RU,51.6601,35.6521,61,
preobrazheniye,RU,42.9019,133.9064,76,
hami,CN,42.8,93.45,27,
qa'en,IR,33.7265,59.1844,23,
baiao,BR,-2.7906,-49.6717,60,
antu,IN,26.05,81.9167,10,
zaozersk,RU,69.4005,32.4476,79,
koungou,YT,-12.7336,45.2042,70,
azemmour,MA,33.2895,-8.3425,84,
tadine,NC,-21.55,167.8833,79,
al jawf,SA,29.5,38.75,33,
erdenet,MN,49.0333,104.0833,58,
bathsheba,BB,13.2167,-59.5167,70,
sao felix do xingu,BR,-6.6447,-51.995,59,
callao,PE,-12.0667,-77.15,78,
luganville,VU,-15.5333,167.1667,88,
taroa,MH,8.7058,171.2275,82,
thinadhoo,MV,0.5333,72.9333,70,
mogocha,RU,53.7333,119.7667,99,
hengchun,TW,22.0042,120.7439,84,
malango,ID,-2.9627,119.9001,97,
gobabis,,-22.45,18.9667,59,
conception bay south,CA,47.4999,-52.9981,83,
iyidere,TR,41.0119,40.3619,64,
pandan,PH,14.0453,124.1694,84,
barra dos coqueiros,BR,-10.9089,-37.0386,70,
mejit,MH,10.2753,170.8646,80,
bandar lampung,ID,-5.4254,105.258,94,
i-n-salah,DZ,27.1935,2.4607,7,
baharly,TM,38.4362,57.4316,37,
remire-montjoly,GF,4.9167,-52.2667,94,
wenchang,CN,30.904,118.4887,83,
sigaboy,PH,6.6541,126.0727,80,
dampit,ID,-8.2116,112.7493,94,
whakatane,NZ,-37.9585,176.9854,97,
cumaral,CO,4.2708,-73.4867,58,
okha,RU,53.5739,142.9478,98,
trinity beach,AU,-16.7888,145.6968,88,
chios,GR,38.3678,26.1358,49,
kulhudhuffushi,MV,6.6221,73.07,70,
yokadouma,CM,3.5167,15.05,58,
chibougamau,CA,49.9168,-74.3659,68,
kununurra,AU,-15.7667,128.7333,89,
panzos,GT,15.4,-89.6667,54,
tomatlan,MX,19.9333,-105.25,38,
san pablo villa de mitla,MX,16.9167,-96.4,42,
roorkee,IN,29.8667,77.8833,24,
ust-nera,RU,64.5667,143.2,100,
tobol'sk,RU,58.2,68.2667,97,
barmer,IN,25.75,71.3833,19,
kismayo,SO,-0.3582,42.5454,76,
vuktyl,RU,63.8567,57.3094,100,
bogande,BF,12.9714,-0.1436,4,
tarawa,KI,1.419,172.984,84,
aoulef,DZ,26.9667,1.0833,9,
merizo village,GU,13.2658,144.6691,93,
port-vila,VU,-17.7338,168.3219,88,
la cruz,MX,23.9167,-106.9,77,
parras de la fuente,MX,25.4167,-102.1833,15,
bulawayo,ZW,-20.15,28.5833,35,
kitui,KE,-1.367,38.0106,80,
white city,US,42.4374,-122.8589,87,
nadi,FJ,-17.8,177.4167,94,
santa ines,BR,-3.6667,-45.38,64,
banjar,ID,-8.19,114.9675,92,
cape coast,GH,5.1053,-1.2466,65,
pisco,PE,-13.7,-76.2167,78,
an nuhud,SD,12.7,28.4333,5,
china,MX,25.7,-99.2333,72,
asha,RU,54.9973,57.2722,99,
price,US,39.5994,-110.8107,60,
kiruna,SE,67.8557,20.2251,80,
palmeira,BR,-25.4294,-50.0064,39,
arauco,CL,-37.2463,-73.3175,43,
nadym,RU,65.5333,72.5167,96,
kolokani,ML,13.5728,-8.0339,13,
guajara mirim,BR,-10.7828,-65.3394,74,
bikenibeu village,KI,1.3673,173.1241,84,
tromso,NO,69.6496,18.957,55,
candido mendes,BR,-1.4467,-45.7167,61,
